Longitude;Latitude;DEPART;Elevation (m);Moho Depth (m);Curie Depth (Km);Free Air Anomaly (mGal);Vertical Gravity Gradient (E);Bouguer Anomaly (mGal);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Magnetic Anomaly (nT)
-75.82687243;6.868973124;ANTIOQUIA;0.153439153;0.484877831;0.357142857;0.194271825;0.088174151;0.371694521;0.003024529;0.027683511;0.058574369;0.154015821;0.485935614
-76.53466456;5.143885286;CHOCÓ;0.026455026;0.401010287;0.428571429;0.125234866;0.190811357;0.358699629;0.002876869;0.078475861;0.014507596;0.197362503;0.578619615
-73.71652029;7.446932557;SANTANDER;0.010582011;0.568101856;0.928571429;0.01659682;0.227280827;0.21077374;0.033447338;0.035937319;0.034836257;0.242026768;0.664068378
-76.48780332;3.931520548;VALLE DEL CAUCA;0.317460317;0.304679097;0.5;0.325456486;0.313851271;0.442188696;0.007010445;0.098260629;0.03340874;0.039353289;0.631933268
-74.61902765;10.32046942;MAGDALENA;0;0.374130372;0.357142857;0.084766591;0.230607033;0.338496867;0.071476096;0.055599066;0.051493434;0.468245826;0.491477684
-78.15375021;2.147474502;NARIÑO;0.005291005;0.223549705;0.5;0.095389505;0.222499406;0.355184259;0.079910543;0.069754607;0.070733714;0.286550713;0.564186147
-75.40647761;10.40840321;BOLÍVAR;0;0.239331858;0;0.123235558;0.241120219;0.401159753;0.006703957;0.011351755;0.006210255;0.63972203;0.360600048
-74.61726558;9.098013464;BOLÍVAR;0;0.452079634;0.357142857;0.104591239;0.255048705;0.365891968;0.099574599;0.086217954;0.061717093;0.207408629;0.512278381
-73.85375456;2.892588583;META;0.095238095;0.384196495;0.785714286;0.210868638;0.249495129;0.544801327;0.06018546;0.023103403;0.01014104;0.117181885;0.684185446
-74.82703663;6.197880259;ANTIOQUIA;0.142857143;0.465423428;0.714285714;0.1655827;0.236012117;0.356382396;0.011354325;0.022288108;0.055502877;0.048613017;0.684732739
-75.35852403;1.371993503;CAQUETÁ;0.047619048;0.372787777;0.642857143;0.155923313;0.272214303;0.420367687;0.038612835;0.204613897;0.014463628;0.258290746;0.676316246
-75.39223838;9.672472909;BOLÍVAR;0.021164021;0.247212883;0.285714286;0.148142794;0.247059872;0.429985627;0.024135324;0.005535444;0.009638177;0.470390763;0.618819016
-76.39472747;3.282878402;CAUCA;0.201058201;0.39543422;0.5;0.15235824;0.21730221;0.281441614;0.027414983;0.029854058;0.025271376;0.095089408;0.659506956
-77.3359677;3.215115425;VALLE DEL CAUCA;0.010582011;0.211982304;0.357142857;0.104470798;0.22021264;0.360716562;0.028548413;0.085899144;0.042383123;0.099048501;0.595007885
-72.23207901;1.467456251;GUAVIARE;0.047619048;0.239722099;0.714285714;0.196656568;0.267848658;0.482416207;0.183543038;0.260644056;0.252861599;0.142979172;0.465404344
-75.95443198;1.069268683;CAQUETÁ;0.047619048;0.417147622;0.428571429;0.113431619;0.238239487;0.343612359;0.040759115;0.153294814;0.025756867;0.167950153;0.750679247
-70.14006338;0.478824003;VAUPÉS;0.037037037;0.345154123;0.642857143;0.169701784;0.263720599;0.448823942;0.297778149;0.516488752;0.562719476;0.123125166;0.572803574
-76.53066514;0.854971795;PUTUMAYO;0.068783069;0.498525055;0.285714286;0.085031554;0.229181516;0.282207205;0.033862632;0.074167966;0.025346849;0.221971319;0.604935438
-73.17650274;7.192142911;SANTANDER;0.169312169;0.648678378;0.928571429;0.124367694;0.193751485;0.240084018;0.009807354;0.006626138;0.045279895;0.407278793;0.706306981
-75.3702155;5.301399405;CALDAS;0.603174603;0.652636012;0.571428571;0.421737256;0.37345569;0.318002065;0.004745515;0.043204685;0.039471219;0.028166096;0.612704983
-73.61315408;6.739228065;SANTANDER;0.063492063;0.710419752;0.928571429;0.041961766;0.197285579;0.221674997;0.019455554;0.021684688;0.004818454;0.294640565;0.602105162
-75.28491797;4.356140369;TOLIMA;0.470899471;0.743617923;0.5;0.181288246;0.187871228;0.218878958;0.015968035;0.077103145;0.009645245;0.060559388;0.521890088
-70.42409005;-3.381215866;AMAZONAS;0.021164021;0.306384611;0.785714286;0.155947396;0.260067712;0.438042184;0.91347788;0.897840094;0.893915503;0.709847748;0.693510523
-72.27121183;11.431081;LA GUAJIRA;0.005291005;0.30269267;0.428571429;0.134581122;0.251930387;0.410783107;0.072158767;0.086970916;0.033611788;0.38943753;0.369384649
-72.78673467;11.40584551;LA GUAJIRA;0.005291005;0.341823796;0.357142857;0.101267048;0.232745308;0.365077613;0.039932009;0.086178653;0.050026481;0.336993195;0.249624913
-72.30619702;11.29229637;LA GUAJIRA;0.015873016;0.330059453;0.428571429;0.12655972;0.245574958;0.388525701;0.078639903;0.098165465;0.014564829;0.350408229;0.469766131
-72.80615091;6.872497189;SANTANDER;0.671957672;0.629946055;0.928571429;0.320349765;0.294488002;0.25114035;0.001677995;0.021913417;0.047428825;0.341855165;0.527170847
-74.04417269;6.87845505;SANTANDER;0.015873016;0.60428546;0.928571429;0.044948716;0.23372535;0.253965459;0.054894134;0.071155391;0.033964391;0.26372718;0.654414796
-73.60668487;4.748348599;CUNDINAMARCA;0.44973545;0.667148454;0.928571429;0.263212424;0.270135424;0.296417014;0.015207768;0.007658999;0.012696668;0.065922055;0.424896238
-74.61595906;6.888660931;ANTIOQUIA;0.111111111;0.440511882;0.785714286;0.144144149;0.248188406;0.343761148;0.018272269;0.026667029;0.020401558;0.145816977;0.626276611
-74.28174043;9.143079075;BOLÍVAR;0;0.441539785;0.5;0.104326274;0.242575434;0.373102814;0.066813444;0.068168835;0.053799582;0.190979113;0.400180418
-73.93896331;10.1513535;CESAR;0.037037037;0.322744254;0.571428571;0.173411384;0.259741031;0.429149378;0.004537878;0.006067374;0.03738095;0.277268127;0.660454493
-76.20905419;8.74706943;CÓRDOBA;0.031746032;0.207737752;0.357142857;0.139687821;0.272273699;0.419882245;0.007660936;0.012513795;0.009158243;0.394715317;0.595363658
-78.23450835;1.886399838;NARIÑO;0.005291005;0.255781194;0.428571429;0.108903044;0.246733191;0.384242778;0.058118538;0.052142537;0.04569558;0.245726935;0.59813031
-71.88263966;4.577911664;META;0.026455026;0.380159265;0.857142857;0.106470106;0.253148016;0.357499775;0.16848679;0.165309935;0.114778031;0.468293487;0.626931674
-75.48979054;10.3497678;BOLÍVAR;0;0.214915445;0;0.129233511;0.2602756;0.414149348;0.001881237;0.022024015;0.005704371;0.638135425;0.354055582
-74.92256819;10.3339607;ATLÁNTICO;0;0.372837959;0.285714286;0.109842463;0.239665004;0.382837221;0.030087436;0.034448533;0.016549471;0.553447976;0.464795375
-73.55629981;4.167551409;META;0.074074074;0.466375343;0.857142857;0.06419521;0.189861012;0.249072127;0.014542154;0.065593134;0.008269156;0.111234849;0.180814044
-75.3571323;10.35017653;BOLÍVAR;0.026455026;0.260630542;0.071428571;0.138025725;0.259800428;0.405941981;0.019297402;0.014650877;0.008076838;0.618469601;0.384929907
-69.76919011;-2.135500648;AMAZONAS;0.021164021;0.310590336;0.857142857;0.161921296;0.260245902;0.446481808;0.689509306;0.777977841;0.814732039;0.552454354;0.659604015
-76.5858994;5.776691678;CHOCÓ;0.010582011;0.305923644;0.428571429;0.107529996;0.209343074;0.364880647;0.006436709;0.061641131;0.072276758;0.308345843;0.829846154
-75.10453753;9.267298957;SUCRE;0.021164021;0.365296069;0.285714286;0.124560412;0.265769779;0.399351602;0.051019975;0.056993479;0.054624093;0.331886601;0.622677333
-75.34925507;8.682036313;CÓRDOBA;0.015873016;0.407461855;0.428571429;0.101917449;0.2551378;0.357941463;0.03561049;0.071502869;0.035994854;0.271248575;0.54858603
-75.11617296;6.3402897;ANTIOQUIA;0.349206349;0.516792818;0.571428571;0.193645536;0.159687574;0.275418783;0.012292972;0.05266059;0.039259734;0.047215376;0.654173286
-72.64155295;6.275823998;BOYACÁ;0.333333333;0.575386783;1;0.274822965;0.000237586;0.337863534;0.002718659;0.020295577;0.020301298;0.229728918;0.500200284
-68.06633248;3.69584467;GUAINÍA;0.021164021;0.383844992;0.785714286;0.127860492;0.251009741;0.394352252;0.088345255;0.032275099;0.589915007;0.105782069;0.566027336
-73.46509724;9.987285025;CESAR;0.010582011;0.280070871;0.642857143;0.182275875;0.243733666;0.482634368;0.026010607;0.014161596;0.062725997;0.157493763;0.764514458
-74.33554754;6.322910067;SANTANDER;0.021164021;0.49105215;0.857142857;0.050729898;0.232715609;0.272313884;0.031822701;0.036372427;0.016469854;0.141779859;0.679120878
-73.58539327;8.286313082;CESAR;0.031746032;0.451231689;0.714285714;0.091029538;0.20958066;0.348036722;0.005781318;0.022798565;0.005704818;0.18706558;0.673755396
-73.19824378;2.817884688;META;0.047619048;0.313036479;0.785714286;0.143373336;0.262265384;0.389140781;0.104391607;0.085035735;0.080586314;0.151877594;0.745491976
-76.84250565;6.120178404;CHOCÓ;0.010582011;0.261895957;0.5;0.114611949;0.239130435;0.383388359;0.039827053;0.03141736;0.063743356;0.376594432;0.705093588
-72.66216914;7.076027897;NORTE DE SANTANDER;0.576719577;0.724876677;0.928571429;0.358866901;0.281658351;0.316937551;0.003290888;0.019484846;0.021986174;0.410975296;0.596053454
-76.32731256;3.025275834;CAUCA;0.380952381;0.613987101;0.571428571;0.227248654;0.239160133;0.240075873;0.007311755;0.033498648;0.041385141;0.072431371;0.702991413
-74.25266194;10.98093868;MAGDALENA;0;0.021145111;0.285714286;0.212578904;0.239249228;0.514869233;0.020476488;0.006728055;0.024030549;0.423288366;0.403135345
-73.12377416;4.164180561;META;0.037037037;0.468683108;0.785714286;0.087416299;0.23921953;0.312284093;0.033285998;0.079628706;0.023750222;0.179046041;0.174686378
-75.61802202;5.184984495;CALDAS;0.201058201;0.519515206;0.428571429;0.181842289;0.170349252;0.270984043;0.007084864;0.045315059;0.00554645;0.012412528;0.604362826
-75.00317628;9.063276641;SUCRE;0.005291005;0.4181039;0.357142857;0.094040571;0.250089095;0.342310501;0.088189029;0.086289001;0.077738781;0.267884328;0.633807567
-73.70166139;6.441006679;SANTANDER;0.111111111;0.711691871;1;0.072602022;0.209194583;0.217738814;0.031125964;0.028195749;0.00724894;0.228891902;0.645998952
-73.19524429;10.03869429;CESAR;0.047619048;0.281404019;0.571428571;0.260875863;0.269036588;0.53804298;0.014154961;0.005145627;0.040674473;0.084109462;0.607583284
-77.37975913;6.248251968;CHOCÓ;0.047619048;0.194067077;0.5;0.24023222;0.323087432;0.595796739;0.001880092;0.029395709;0.020389601;0.445400468;0.555348959
-74.11747514;11.16922009;MAGDALENA;0.132275132;0;0.285714286;0.39401167;0.299744595;0.630799249;0.011032699;0.02174574;0.007178456;0.422708924;0.484887448
-76.13399994;8.014316464;CÓRDOBA;0.037037037;0.342655606;0.5;0.185286907;0.319375148;0.49601443;0.008246814;0.038669108;0.023124497;0.189213469;0.553080583
-74.97873579;9.169515369;SUCRE;0.010582011;0.406754595;0.285714286;0.10577157;0.251900689;0.364897818;0.073480744;0.075716858;0.075233844;0.287358358;0.649054508
-72.49123278;4.884417952;CASANARE;0.037037037;0.472608224;0.928571429;0.072264777;0.227369922;0.288784801;0.06347208;0.081042955;0.024372889;0.283321551;0.653021894
-72.42324317;6.59469882;BOYACÁ;0.841269841;0.655547489;0.928571429;0.53430169;0.450552388;0.362093236;0.007901402;0.042695835;0.024639642;0.336457695;0.499446864
-74.8400452;10.20991918;ATLÁNTICO;0.005291005;0.409431751;0.285714286;0.113142571;0.256177239;0.391803076;0.032031275;0.050420206;0.021374142;0.52104072;0.524691474
-73.98307081;7.720419088;BOLÍVAR;0.021164021;0.582825812;0.857142857;0.06128054;0.224192207;0.28108479;0.032075265;0.008070142;0.063336132;0.146560789;0.632130306
-73.28543399;-1.594428211;AMAZONAS;0.026455026;0.235455044;0.857142857;0.150696173;0.254870516;0.42616593;0.635918346;0.554744375;0.496300992;0.098404067;0.459757425
-74.1026892;7.742524905;BOLÍVAR;0.052910053;0.607506393;0.857142857;0.116394486;0.250623664;0.365243865;0.013352458;0.010769165;0.04786852;0.11221098;0.616691196
-74.61699564;5.457311665;CALDAS;0.052910053;0.568065691;0.714285714;0.073854627;0.220361131;0.272539773;0.028299109;0.033016446;0.006050722;0.025855454;0.617574136
-73.70069965;7.765928945;SANTANDER;0.005291005;0.500812504;0.928571429;0.011923688;0.201977904;0.215646529;0.008669536;0.026679498;0.045117836;0.224603862;0.659669586
