Elevation (m);Surface Temperature (C);Moho Depth (m);Curie Depth (Km);Magnetic Anomaly (nT)
18.8976;28.105512;37086.18974;22;-32.3364
17.0688;28.114656;37043.34087;22;-32.3364
19.812;28.10094;37005.87879;22;-39.3768
16.1544;28.119228;37087.44678;20;-32.3364
185.6232;27.271884;37783.78791;34;33.0674
126.492;27.56754;43844.1697;24;-40.078
95.7072;27.721464;41257.92157;36;40.9265
110.6424;27.646788;41258.88869;36;40.9265
184.0992;27.279504;38751.22046;32;15.2975
190.5;27.2475;43498.03789;36;8.0419
136.5504;27.517248;37492.45607;32;30.7509
404.4696;26.177652;45161.99801;30;-2.2954
420.624;26.09688;45159.56533;30;-3.417
393.192;26.23404;45153.86015;30;-2.2954
409.3464;26.153268;45185.77048;30;-2.2954
404.4696;26.177652;45160.67025;30;-2.2954
390.144;26.24928;45155.0863;30;-2.2954
405.9936;26.170032;45159.03337;30;-3.417
396.8496;26.215752;45150.77398;30;-2.4715
182.88;27.2856;38780.99503;32;11.0068
181.356;27.29322;38675.17392;32;11.0068
82.9056;27.785472;34624.56589;30;35.3816
142.3416;27.488292;37470.9251;34;40.9261
35.6616;28.021692;31648.02435;22;29.1668
266.0904;26.869548;37698.03834;36;-22.7253
378.8664;26.305668;38415.11964;34;-12.5758
394.1064;26.229468;38425.79988;34;-12.5758
394.1064;26.229468;38403.44555;34;-12.5758
410.2608;26.148696;38667.78696;34;-12.5758
414.528;26.12736;38471.9947;34;-20.4019
426.4152;26.067924;38471.79844;34;-12.5758
421.5384;26.092308;38310.23792;36;-18.3944
421.5384;26.092308;38306.56823;36;-18.3944
354.1776;26.429112;38359.12746;34;-12.5758
353.568;26.43216;38358.53945;34;-12.5758
393.8016;26.230992;38295.76178;34;-18.3944
385.8768;26.270616;38227.3609;36;-18.3944
385.8768;26.270616;38226.65107;36;-18.3944
388.62;26.2569;38551.87565;34;-12.5758
338.328;26.50836;38329.29538;34;-12.5758
338.328;26.50836;38332.2799;34;-12.5758
441.6552;25.991724;38511.13654;34;-20.4019
479.7552;25.801224;38567.59443;34;-20.4019
479.7552;25.801224;38568.76424;34;-20.4019
370.0272;26.349864;38438.49201;34;-12.5758
123.7488;27.581256;37932.9989;34;29.5443
271;26.845;43073.49491;30;6.8331
284.0736;26.779632;37465.88221;20;-10.9948
298.0944;26.709528;37442.73261;20;-10.9948
60.0456;27.899772;36763.80641;30;22.4476
0;28.2;42996.9659;36;23.5954
0;28.2;36075.60912;32;11.8105
96.3168;27.718416;43162.27535;36;22.3842
102.4128;27.687936;43153.32324;36;22.3842
98.4504;27.707748;43146.88113;36;22.3842
91.44;27.7428;43148.85034;36;22.3842
307.2384;26.663808;44405.31402;28;-52.4172
159.7152;27.401424;34666.06339;32;-26.4394
143.256;27.48372;34661.09205;32;-27.0496
160.6296;27.396852;34661.58963;32;-26.4394
156.972;27.41514;34664.69818;32;-26.4394
154.2288;27.428856;34664.79071;32;-26.4394
153.6192;27.431904;34649.80962;32;-25.3571
153.6192;27.431904;34651.79162;32;-25.3571
152.7048;27.436476;34653.69012;32;-25.3571
533.7048;25.531476;45118.87415;32;-3.2814
152.4;27.438;34693.50078;34;-13.28
146.9136;27.465432;37156.72416;36;-36.2366
99.9744;27.700128;33738.0294;34;-15.9115
153.0096;27.434952;35405.97847;32;4.3191
65.2272;27.873864;38888.08551;36;23.0483
189.2808;27.253596;34236.80762;34;-31.1619
61.8744;27.890628;38686.33222;36;22.5281
267;26.865;35208.66265;22;19.8375
250.8504;26.945748;34452.45325;22;24.9233
278.892;26.80554;35545.35676;20;7.5454
283.464;26.78268;35467.84373;22;-2.8592
269.748;26.85126;35403.17893;22;-2.0268
605;25.175;45769.89359;30;-4.9642
156.972;27.41514;37884.90648;32;31.2743
146.6088;27.466956;37731.42042;32;31.2743
142.3416;27.488292;37753.00453;32;31.2743
158.496;27.40752;38151.02704;32;19.5043
148.1328;27.459336;37767.92174;32;31.2743
140.5128;27.497436;37745.42983;32;31.2743
157.2768;27.413616;37753.45077;32;31.2743
159.7152;27.401424;37749.94587;32;31.2743
138.684;27.50658;37774.62431;32;31.2743
158.496;27.40752;35967.22594;34;19.6645
591;25.245;43994.02294;24;-44.1566
155.7528;27.421236;37564.69553;34;24.2991
378.8664;26.305668;41880.31918;20;-13.2863
146.9136;27.465432;38141.67226;32;19.5043
137.16;27.5142;34643.26398;34;-10.19
153.924;27.43038;34735.09413;34;-13.9969
1335;21.525;43754.30737;24;-13.2596
285.2928;26.773536;35236.73721;34;-26.6369
36.576;28.01712;30025.3086;10;-94.6889
54.2544;27.928728;30035.74848;10;-94.6889
179.832;27.30084;37253.84799;34;37.4247
179.832;27.30084;37253.89619;34;37.4247
179.2224;27.303888;37283.00434;34;37.4247
65.532;27.87234;35775.86209;30;32.4358
76.8096;27.815952;35710.97111;30;32.959
76.8096;27.815952;35693.83751;30;33.3177
75.8952;27.820524;35641.47129;30;32.959
41.4528;27.992736;35693.73071;30;32.959
142.9512;27.485244;37210.26389;36;-9.9527
153.3144;27.433428;36271.13096;32;20.501
333.4512;26.532744;35446.77018;34;-2.0493
965.3016;23.373492;33853.62273;24;12.6789
1599.5904;20.202048;41754.02611;26;-14.6268
350.2152;26.448924;35211.23201;34;-90.4829
175.8696;27.320652;34507.38264;34;-24.8437
213.0552;27.134724;35253.92022;34;-62.6183
154.5336;27.427332;36983.85451;36;-32.5103
132.8928;27.535536;36669.47424;32;43.1342
238.6584;27.006708;36088.29593;36;-76.5017
40.2336;27.998832;35497.96325;32;-8.7665
140.8176;27.495912;36953.19594;32;46.4795
132.2832;27.538584;35388.52999;30;3.6294
130.7592;27.546204;35423.95416;30;3.6294
131.3688;27.543156;35389.43985;30;-0.5546
130.7592;27.546204;35386.25366;30;-0.5546
131.064;27.54468;35392.36438;30;3.6294
161.8488;27.390756;37891.41858;34;39.1881
165.41496;27.3729252;37822.87244;34;28.4568
166.7256;27.366372;37812.05453;34;28.4568
166;27.37;37883.90377;34;39.1881
166;27.37;37884.19097;34;39.1881
164.8968;27.375516;37902.0645;34;39.1881
163.6776;27.381612;37876.4812;34;39.1881
163.6776;27.381612;37880.56684;34;39.1881
163.068;27.38466;37889.06664;34;39.1881
146.6088;27.466956;37472.16737;36;-25.3229
125.5776;27.572112;34998.30523;36;-40.0515
150.876;27.44562;36853.44682;36;-36.9063
147.2184;27.463908;36772.01262;36;-43.7388
142.3416;27.488292;36793.49661;36;-43.7388
143.256;27.48372;36783.51018;36;-43.7388
142.3416;27.488292;36798.40524;36;-36.9063
141.4272;27.492864;36782.91838;36;-43.7388
142.0368;27.489816;36762.41181;36;-43.7388
136.2456;27.518772;36853.46956;36;-36.9063
142.6464;27.486768;36827.07501;36;-36.9063
141.4272;27.492864;36802.14549;36;-43.7388
142.6464;27.486768;36807.46763;36;-36.9063
143.256;27.48372;36777.94236;36;-43.7388
143.5608;27.482196;36792.34629;36;-36.9063
142.9512;27.485244;36827.83498;36;-36.9063
140.8176;27.495912;36753.50615;36;-43.7388
145.3896;27.473052;36807.96906;36;-36.9063
145.3896;27.473052;36805.94688;36;-36.9063
142.3416;27.488292;36796.1887;36;-36.9063
143.5608;27.482196;36759.44167;36;-43.7388
142.9512;27.485244;36817.3648;36;-36.9063
142.6464;27.486768;36778.47877;36;-36.9063
150.876;27.44562;36776.58601;36;-43.7388
142.0368;27.489816;36750.15642;36;-43.7388
141.732;27.49134;36742.59086;36;-43.7388
86.2584;27.768708;42949.5224;36;23.7397
94.488;27.72756;33645.20332;32;-36.801
204.8256;27.175872;39529.30053;30;7.7662
153.6192;27.431904;36587.00651;36;-46.5463
155.1432;27.424284;36580.46977;36;-46.5463
84.1248;27.779376;39997.17273;36;22.0799
143.5608;27.482196;36905.5579;36;-36.9063
141.4272;27.492864;36875.4715;36;-44.3795
142.0368;27.489816;36884.55563;36;-44.3795
143.5608;27.482196;36899.54151;36;-44.3795
141.4272;27.492864;36897.47457;36;-39.9422
142.3416;27.488292;36887.19187;36;-44.3795
142.3416;27.488292;36907.23237;36;-39.9422
143.256;27.48372;36906.40166;36;-39.9422
142.6464;27.486768;36928.51277;36;-39.9422
139.2936;27.503532;36595.25615;36;-40.2636
138.9888;27.505056;36589.61169;36;-40.2636
139.9032;27.500484;36575.94403;36;-40.2636
140.5128;27.497436;36635.57305;36;-40.2636
140.5128;27.497436;36633.29603;36;-40.2636
139.9032;27.500484;36536.48868;36;-47.1979
140.5128;27.497436;36639.72238;36;-40.2636
139.2936;27.503532;36669.40592;36;-38.0976
140.208;27.49896;36590.10484;36;-40.2636
138.9888;27.505056;36593.23665;36;-40.2636
138.9888;27.505056;36583.33519;36;-40.2636
140.5128;27.497436;36653.995;36;-40.2636
140.8176;27.495912;36567.09205;36;-40.2636
140.208;27.49896;36648.9398;36;-40.2636
140.208;27.49896;36554.70261;36;-40.2636
139.9032;27.500484;36570.45203;36;-40.2636
140.208;27.49896;36655.31097;36;-40.2636
139.9032;27.500484;36585.07832;36;-40.2636
140.5128;27.497436;36640.26855;36;-40.2636
140.208;27.49896;36661.55313;36;-38.0976
141.732;27.49134;36673.88055;36;-38.0976
139.2936;27.503532;36669.00592;36;-38.0976
140.208;27.49896;36689.92169;36;-38.0976
140.5128;27.497436;36658.91656;36;-38.0976
145;27.475;36653.12655;36;-40.2636
139;27.505;36652.86578;36;-38.0976
150;27.45;36673.55409;36;-38.0976
140.8176;27.495912;36576.77698;36;-40.2636
143;27.485;36652.62419;36;-40.2636
140.8176;27.495912;36667.06779;36;-38.0976
140.208;27.49896;36689.46436;36;-38.0976
139.2936;27.503532;36591.5706;36;-40.2636
140.5128;27.497436;36635.97157;36;-40.2636
144;27.48;36565.88504;36;-40.2636
140.5128;27.497436;36635.50883;36;-40.2636
140.5128;27.497436;36678.81486;36;-38.0976
140.208;27.49896;36643.91529;36;-40.2636
139.5984;27.502008;36654.55957;36;-38.0976
140.5128;27.497436;36555.02692;36;-40.2636
